identity_key,contact_key,identity_type,identity_value,match_confidence,is_primary
ID00001-01,CT00001,email,noah.becker1@langegroupse.com,1.0,1
ID00001-02,CT00001,cookie,ck_000001_3095,0.88,0
ID00001-03,CT00001,badge_id,BDG-000001,0.96,0
ID00001-04,CT00001,mobile,+49 151 44663022,0.97,0
ID00001-05,CT00001,CRM contact id,CRM-000001,0.98,0
ID00002-01,CT00002,email,julia.meyer2@hoffmanntradekg.com,1.0,1
ID00002-02,CT00002,badge_id,BDG-000002,0.77,0
ID00003-01,CT00003,email,noah.lange3@brauneventag.com,1.0,1
ID00003-02,CT00003,cookie,ck_000003_8796,0.88,0
ID00003-03,CT00003,mobile,+49 151 22507745,0.85,0
ID00003-04,CT00003,CRM contact id,CRM-000003,0.96,0
ID00004-01,CT00004,email,amelie.kruger4@schmidtfairltd.com,1.0,1
ID00004-02,CT00004,cookie,ck_000004_8817,0.97,0
ID00004-03,CT00004,badge_id,BDG-000004,0.79,0
ID00004-04,CT00004,mobile,+49 151 87576121,0.86,0
ID00004-05,CT00004,CRM contact id,CRM-000004,0.78,0
ID00005-01,CT00005,email,johannes.wolf5@wernerfairse.com,1.0,1
ID00005-02,CT00005,cookie,ck_000005_8904,0.82,0
ID00005-03,CT00005,mobile,+49 151 87531025,0.81,0
ID00006-01,CT00006,email,finn.hoffmann6@kochconnectag.com,1.0,1
ID00006-02,CT00006,cookie,ck_000006_1086,0.94,0
ID00006-03,CT00006,badge_id,BDG-000006,0.74,0
ID00006-04,CT00006,mobile,+49 151 91742470,0.73,0
ID00006-05,CT00006,CRM contact id,CRM-000006,0.9,0
ID00007-01,CT00007,email,max.werner7@wagnerfairse.com,1.0,1
ID00007-02,CT00007,cookie,ck_000007_1004,0.74,0
ID00007-03,CT00007,badge_id,BDG-000007,0.9,0
ID00007-04,CT00007,mobile,+49 151 79490249,0.72,0
ID00008-01,CT00008,email,tim.wagner8@neumannconnectltd.com,1.0,1
ID00008-02,CT00008,badge_id,BDG-000008,0.94,0
ID00009-01,CT00009,email,paula.lange9@wagnerexpogmbh.com,1.0,1
ID00009-02,CT00009,cookie,ck_000009_2106,0.89,0
ID00009-03,CT00009,CRM contact id,CRM-000009,0.98,0
ID00010-01,CT00010,email,lea.schmitt10@hoffmannconsultingse.com,1.0,1
ID00010-02,CT00010,cookie,ck_000010_4580,0.79,0
ID00011-01,CT00011,email,lukas.bauer11@kochdigitalltd.com,1.0,1
ID00012-01,CT00012,email,leon.schmidt12@hartmannfairltd.com,1.0,1
ID00012-02,CT00012,cookie,ck_000012_7933,0.97,0
ID00012-03,CT00012,badge_id,BDG-000012,0.95,0
ID00012-04,CT00012,CRM contact id,CRM-000012,0.84,0
ID00013-01,CT00013,email,sarah.meyer13@kochtradeltd.com,1.0,1
ID00013-02,CT00013,cookie,ck_000013_6621,0.77,0
ID00013-03,CT00013,badge_id,BDG-000013,0.82,0
ID00013-04,CT00013,mobile,+49 151 34144323,0.87,0
ID00014-01,CT00014,email,luca.koch14@neumannmediagmbh.com,1.0,1
ID00014-02,CT00014,cookie,ck_000014_9470,0.91,0
ID00014-03,CT00014,mobile,+49 151 63472598,0.75,0
ID00014-04,CT00014,CRM contact id,CRM-000014,0.85,0
ID00015-01,CT00015,email,julia.becker15@wernermarketholding.com,1.0,1
ID00015-02,CT00015,mobile,+49 151 57661928,0.81,0
ID00015-03,CT00015,CRM contact id,CRM-000015,0.82,0
ID00016-01,CT00016,email,max.hoffmann16@neumanngroupgmbh.com,1.0,1
ID00016-02,CT00016,CRM contact id,CRM-000016,0.92,0
ID00017-01,CT00017,email,lea.hoffmann17@wagnerconnectholding.com,1.0,1
ID00017-02,CT00017,cookie,ck_000017_8752,0.73,0
ID00017-03,CT00017,mobile,+49 151 23949034,0.79,0
ID00017-04,CT00017,CRM contact id,CRM-000017,0.78,0
ID00018-01,CT00018,email,finn.klein18@schmidtsystemsholding.com,1.0,1
ID00018-02,CT00018,cookie,ck_000018_3213,0.77,0
ID00019-01,CT00019,email,marie.kruger19@meyerfairag.com,1.0,1
ID00019-02,CT00019,cookie,ck_000019_9574,0.81,0
ID00019-03,CT00019,badge_id,BDG-000019,0.98,0
ID00019-04,CT00019,mobile,+49 151 67772049,0.94,0
ID00020-01,CT00020,email,johannes.meyer20@schmidtsystemskg.com,1.0,1
ID00020-02,CT00020,cookie,ck_000020_4924,0.93,0
ID00021-01,CT00021,email,max.schmitt21@kochconnectse.com,1.0,1
ID00021-02,CT00021,cookie,ck_000021_3492,0.98,0
ID00021-03,CT00021,badge_id,BDG-000021,0.79,0
ID00022-01,CT00022,email,jonas.wagner22@hartmannholdingsgroup.com,1.0,1
ID00022-02,CT00022,cookie,ck_000022_3393,0.79,0
