contact_key,source_contact_ids,first_name,last_name,email,phone,company_key,country,language,persona_type,opt_in_status,created_ts,updated_ts
CT00001,SRC-00001-1,Noah,Becker,noah.becker1@langegroupse.com,+49 170 7956063,CO0339,Poland,pl,professional_visitor,0,2028-09-13T17:30:30Z,2027-03-08T16:10:41Z
CT00002,SRC-00002-1|SRC-00002-2|SRC-00002-3,Julia,Meyer,julia.meyer2@hoffmanntradekg.com,+49 170 5755579,CO0450,Switzerland,de,private_visitor,1,2028-08-23T20:30:10Z,2027-03-26T20:26:38Z
CT00003,SRC-00003-1,Noah,Lange,noah.lange3@brauneventag.com,+49 170 7345333,CO0036,Italy,it,private_visitor,0,2026-02-03T10:33:55Z,2028-10-29T17:26:52Z
CT00004,SRC-00004-1|SRC-00004-2,Amelie,Kruger,amelie.kruger4@schmidtfairltd.com,+49 170 7213902,CO0268,Belgium,pl,exhibitor_contact,1,2027-04-15T19:30:50Z,2028-02-20T12:37:51Z
CT00005,SRC-00005-1|SRC-00005-2,Johannes,Wolf,johannes.wolf5@wernerfairse.com,+49 170 2788169,CO0210,France,en,media_contact,1,2027-06-20T20:34:27Z,2028-01-19T16:17:43Z
CT00006,SRC-00006-1|SRC-00006-2|SRC-00006-3,Finn,Hoffmann,finn.hoffmann6@kochconnectag.com,+49 170 2997927,CO0438,Spain,nl,private_visitor,1,2026-11-28T08:13:32Z,2028-03-31T19:21:51Z
CT00007,SRC-00007-1,Max,Werner,max.werner7@wagnerfairse.com,+49 170 9294125,CO0030,Poland,it,exhibitor_contact,0,2028-11-27T11:12:02Z,2028-11-11T15:44:14Z
CT00008,SRC-00008-1|SRC-00008-2,Tim,Wagner,tim.wagner8@neumannconnectltd.com,+49 170 6840069,CO0282,France,fr,professional_visitor,0,2027-02-03T14:59:25Z,2026-01-10T11:11:26Z
CT00009,SRC-00009-1|SRC-00009-2|SRC-00009-3,Paula,Lange,paula.lange9@wagnerexpogmbh.com,+49 170 8428425,CO0129,France,it,partner_contact,1,2027-05-14T19:21:49Z,2028-07-28T17:29:57Z
CT00010,SRC-00010-1|SRC-00010-2|SRC-00010-3,Lea,Schmitt,lea.schmitt10@hoffmannconsultingse.com,+49 170 5418274,CO0005,Germany,en,professional_visitor,0,2028-03-28T17:47:52Z,2027-12-02T08:35:59Z
CT00011,SRC-00011-1|SRC-00011-2|SRC-00011-3,Lukas,Bauer,lukas.bauer11@kochdigitalltd.com,+49 170 5061034,CO0121,UK,pl,professional_visitor,0,2027-04-15T10:53:15Z,2027-12-31T09:49:06Z
CT00012,SRC-00012-1|SRC-00012-2,Leon,Schmidt,leon.schmidt12@hartmannfairltd.com,+49 170 7227644,CO0435,Italy,es,professional_visitor,1,2027-07-17T14:11:48Z,2028-11-12T11:25:14Z
